leaid,district_name,current_boundary_since,n_baseline_years,n_efa_years,total_years,data_status,baseline_years_thin,baseline_cagr,covid_drop_pct,recovered_from_covid,efa_cagr,typology,reversal_magnitude
0500043,MOUNTAIN HOME SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.0018895454244035603,-0.027331995987963893,False,-0.017417800959960816,emerging_decline,
0500044,MAGNOLIA SCHOOL DISTRICT,2014,6,4,12,ok,False,-0.020036112014494845,-0.1174061433447099,False,-0.034623166251870674,accelerating_decline,
0500045,RIVERCREST SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.022596089035740397,-0.19654088050314467,False,-0.00599383483592697,sustained_decline,
0500046,MANILA SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.00015849117573041305,-0.06396989651928504,False,-0.006393176103412723,emerging_decline,
0500047,TRUMANN SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.015728945194622757,-0.10941320293398533,False,-0.03092149206777417,accelerating_decline,
0500048,EAST POINSETT COUNTY SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.014168916321693037,-0.2211404728789986,False,0.0006090135488365789,decline_stabilized,
0500049,DE QUEEN SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.0030459083780999263,-0.055944055944055944,False,0.0024365869576601362,stable,
0500051,PALESTINE WHEATLEY SCHOOL DISTRICT,2013,7,4,13,ok,False,0.034250840736453014,-0.04767726161369193,False,0.016288068261208988,growth_throughout,
0500061,IMBODEN CHARTER SCHOOL DIST,2013,7,4,13,ok,False,0.011981031720431634,-0.15625,True,-0.055985989151709714,reversal_downward,large
0500065,LAFAYETTE COUNTY SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.045513587904749464,-0.25544267053701014,False,-0.07540298569696391,accelerating_decline,
0500067,CLEVELAND COUNTY SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.01707090544524681,-0.2073310423825888,False,-0.026213034194311646,sustained_decline,
0500068,EMERSON TAYLOR BRADLEY SCHOOL DISTRICT,2013,7,4,13,ok,False,0.01070589963821078,0.043520309477756286,True,0.022000337721349572,growth_throughout,
0500070,CEDAR RIDGE SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.024264679707494352,-0.27176470588235296,False,-0.00786196045091414,sustained_decline,
0500071,HILLCREST SCHOOL DISTRICT,2013,7,4,13,ok,False,0.018780844431429466,-0.11737089201877934,False,-0.0025974142949444223,growth_stalled,
0500072,DEER MT JUDEA SCHOOL DISTRICT,2013,7,4,13,ok,False,0.026500441040614886,-0.1261904761904762,False,-0.09019509888219779,reversal_downward,large
0500073,OUACHITA RIVER SCHOOL DISTRICT,2013,7,4,13,ok,False,0.014084192528370787,-0.04155495978552279,True,-0.02139463711133649,reversal_downward,large
0500076,OZARK MOUNTAIN SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.0073348375324653325,-0.10225563909774436,False,-0.03885122441301847,accelerating_decline,
0500079,TWO RIVERS SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.0006283387696447429,-0.14551804423748546,False,-0.05994663713820736,emerging_decline,
0500082,LAWRENCE COUNTY SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.021728544078301715,-0.1467038068709378,False,0.009748513743959686,reversal_upward,large
0500405,COSSATOT RIVER SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.025628277342560346,-0.22035398230088496,False,-0.02176327419057189,sustained_decline,
0500419,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,2016,4,4,10,ok,True,0.007330898689159815,-0.12192289828146773,True,-0.021324050489211932,reversal_downward,large
0502250,ALMA SCHOOL DISTRICT,2013,7,4,13,ok,False,0.0009637113663278907,-0.026387625113739762,False,-0.015401980413655925,emerging_decline,
0502280,ALPENA SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.006914547656263315,-0.17300380228136883,False,-0.06554779691823243,accelerating_decline,
0502430,ARKADELPHIA SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.01851834106058392,-0.09340101522842639,False,-0.018301360006623524,sustained_decline,
0502550,ARMOREL SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.005914265649910377,-0.06880733944954129,False,0.04270479563607488,reversal_upward,large
0502580,ASHDOWN SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.005008228451603092,-0.10351966873706005,False,-0.024285307680980472,accelerating_decline,
0502610,ATKINS SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.012312648695347539,-0.08832188420019627,False,-0.011021160391345264,sustained_decline,
0502670,AUGUSTA SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.04499836784307698,-0.26436781609195403,False,-0.06079123014143517,accelerating_decline,
0502700,BALD KNOB SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.010284907465681559,-0.11614956245027844,False,-0.01717898091764425,sustained_decline,
0502730,BARTON SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.02520172719047986,-0.18531889290012032,False,-0.023446190917039256,sustained_decline,
0502790,BAUXITE SCHOOL DISTRICT,2013,7,4,13,ok,False,0.007408588830929652,-0.06791569086651054,False,0.023236376607632003,growth_throughout,
0502820,BAY SCHOOL DISTRICT,2013,7,4,13,ok,False,0.00743613887238892,-0.09163987138263666,False,-0.010792209370776185,reversal_downward,moderate
0502880,BEEBE SCHOOL DISTRICT,2013,7,4,13,ok,False,0.0007722617490104611,-0.032552479464557346,True,-0.008184510205379913,emerging_decline,
0502960,BENTON SCHOOL DISTRICT,2013,7,4,13,ok,False,0.020460398521680467,-0.024469233537243614,True,-0.013371365406892988,reversal_downward,large
0503030,PEA RIDGE SCHOOL DISTRICT,2013,7,4,13,ok,False,0.041302522065096214,-0.006723442402510085,True,0.02787637680601729,growth_throughout,
0503060,BENTONVILLE SCHOOL DISTRICT,2013,7,4,13,ok,False,0.028473808395900857,0.006835499775885253,True,0.02217433018968351,growth_throughout,
0503090,BERGMAN SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.0033645400817581272,-0.0706713780918728,False,-0.04553393349686652,emerging_decline,
0503150,BERRYVILLE SCHOOL DISTRICT,2013,7,4,13,ok,False,-0.013389301518952679,-0.11489776046738072,False,-0.01879792901311339,sustained_decline,
0503240,BISMARCK SCHOOL DISTRICT,2013,7,4,13,ok,False,0.0008382949524639027,-0.06766169154228856,True,0.006616136856461674,emerging_growth,
0503300,BLEVINS SCHOOL DISTRICT,2013,7,4,13,ok,False,0.0006615952869513109,-0.13663366336633664,False,-0.09658613903401037,emerging_decline,
